,ds,yhat
3746,2023-04-05,59219.86849692723
3747,2023-04-06,58716.28809956351
3748,2023-04-07,57664.54928864559
3749,2023-04-08,52279.660027256024
3750,2023-04-09,49457.50719701558
3751,2023-04-10,55605.489230285544
3752,2023-04-11,56581.61069458894
3753,2023-04-12,56298.85788446046
3754,2023-04-13,55802.977363303304
3755,2023-04-14,54784.19423930803
3756,2023-04-15,49457.702559421654
3757,2023-04-16,46718.90276891009
3758,2023-04-17,52974.04452257851
3759,2023-04-18,54079.35035718669
3760,2023-04-19,53945.4384117292
3761,2023-04-20,53615.16475136649
3762,2023-04-21,52775.420215953185
3763,2023-04-22,47637.71189316525
3764,2023-04-23,45093.50152690617
3765,2023-04-24,51544.956234533835
3766,2023-04-25,52844.18393938404
3767,2023-04-26,52897.768502964434
3768,2023-04-27,52744.72190219012
3769,2023-04-28,52068.3852488584
3770,2023-04-29,47077.105802536724
3771,2023-04-30,44659.659598808576
3772,2023-05-01,51216.07271444231
3773,2023-05-02,52596.91162622263
3774,2023-05-03,52707.856156474816
3775,2023-05-04,52587.67135699104
3776,2023-05-05,51920.10966042777
3777,2023-05-06,46914.57051804721
3778,2023-05-07,44461.487745089406
3779,2023-05-08,50963.09870678703
3780,2023-05-09,52272.66739018257
3781,2023-05-10,52298.97687243717
3782,2023-05-11,52084.20992355856
3783,2023-05-12,51315.75175676986
3784,2023-05-13,46206.74504789038
3785,2023-05-14,43651.37048129237
3786,2023-05-15,50055.51003634602
3787,2023-05-16,51275.86809620735
3788,2023-05-17,51224.36879312253
3789,2023-05-18,50945.95101708824
3790,2023-05-19,50130.29749558031
3791,2023-05-20,44992.330100872714
3792,2023-05-21,42427.44625865337
3793,2023-05-22,48842.15482620615
3794,2023-05-23,50093.18718138007
3795,2023-05-24,50091.902086782604
3796,2023-05-25,49882.10539320886
3797,2023-05-26,49151.82012912935
3798,2023-05-27,44113.837800376925
3799,2023-05-28,41661.024012189475
3800,2023-05-29,48197.034643673374
3801,2023-05-30,49575.515866887436
3802,2023-05-31,49704.603887015575
3803,2023-06-01,49624.842621261836
3804,2023-06-02,49021.051942590806
3805,2023-06-03,44102.97440297318
3806,2023-06-04,41760.67073567661
3807,2023-06-05,48395.31773249722
3808,2023-06-06,49858.47940928119
3809,2023-06-07,50056.66528091174
3810,2023-06-08,50029.292290957244
3811,2023-06-09,49460.58177984744
3812,2023-06-10,44560.21862907722
3813,2023-06-11,42218.74258939827
3814,2023-06-12,48838.3255906491
3815,2023-06-13,50272.00663276752
3816,2023-06-14,50428.199229122016
3817,2023-06-15,50348.58952456971
3818,2023-06-16,49719.95843014518
3819,2023-06-17,44754.757191019664
3820,2023-06-18,42346.40892917177
3821,2023-06-19,48899.99266966072
3822,2023-06-20,50271.38426138616
3823,2023-06-21,50371.67198978134
3824,2023-06-22,50244.96776399443
3825,2023-06-23,49580.14983334168
3826,2023-06-24,44591.3688386175
3827,2023-06-25,42173.291836298005
3828,2023-06-26,48731.742546967005
3829,2023-06-27,50122.81357810863
3830,2023-06-28,50257.2693147938
3831,2023-06-29,50178.360790583625
3832,2023-06-30,49573.5884422108
3833,2023-07-01,44655.24402619307
3834,2023-07-02,42315.70534568345
3835,2023-07-03,48958.14061747037
3836,2023-07-04,50435.69641665935
3837,2023-07-05,50655.98574222086
3838,2023-07-06,50658.99508972149
3839,2023-07-07,50128.94380327347
3840,2023-07-08,45274.924223548995
3841,2023-07-09,42986.2934681794
3842,2023-07-10,49663.47089301649
3843,2023-07-11,51157.21249868359
3844,2023-07-12,51373.176338886326
3845,2023-07-13,51349.895584859056
3846,2023-07-14,50770.69060494164
3847,2023-07-15,45844.34703494011
3848,2023-07-16,43460.52954910662
3849,2023-07-17,50020.58469901662
3850,2023-07-18,51376.80386717473
3851,2023-07-19,51436.96064197544
3852,2023-07-20,51242.23997818556
3853,2023-07-21,50479.091649845184
3854,2023-07-22,45359.836523070546
3855,2023-07-23,42777.99726978926
3856,2023-07-24,49139.00910526142
3857,2023-07-25,50299.38405269863
3858,2023-07-26,50171.14567033171
3859,2023-07-27,49799.654331583224
3860,2023-07-28,48875.35831344607
3861,2023-07-29,43614.30191503136
3862,2023-07-30,40913.36479365527
3863,2023-07-31,47180.89046972958
3864,2023-08-01,48275.7796113247
3865,2023-08-02,48111.866823853474
3866,2023-08-03,47735.70246289566
3867,2023-08-04,46838.27575357116
3868,2023-08-05,41635.511044108454
3869,2023-08-06,39023.511551531104
3870,2023-08-07,45409.20828667075
