,ds,yhat
148,2013-05-29,49438.73318279713
149,2013-05-30,49311.60295056712
150,2013-05-31,48663.02886073509
151,2013-06-01,43703.24915856781
152,2013-06-02,41322.71945724805
153,2013-06-03,47922.8997492405
154,2013-06-04,49355.51817553638
155,2013-06-05,49527.125576157
156,2013-06-06,49477.05746060716
157,2013-06-07,48889.33476335854
158,2013-06-08,43973.330392421216
159,2013-06-09,41619.17134300026
160,2013-06-10,48228.529837878465
161,2013-06-11,49653.87467007619
162,2013-06-12,49802.99721700074
163,2013-06-13,49716.92968632968
164,2013-06-14,49081.78832771039
165,2013-06-15,44109.37039244933
166,2013-06-16,41692.47673985631
167,2013-06-17,48235.61596709929
168,2013-06-18,49594.16387022339
169,2013-06-19,49678.79547719583
170,2013-06-20,49533.310042132754
171,2013-06-21,48846.3845386594
172,2013-06-22,43832.08713068433
173,2013-06-23,41385.125029393894
174,2013-06-24,47911.484864399106
175,2013-06-25,49267.54130286885
176,2013-06-26,49364.45270415165
177,2013-06-27,49245.96532084625
178,2013-06-28,48600.162249154666
179,2013-06-29,43639.98879706872
180,2013-06-30,41258.52838838093
181,2013-07-01,47859.68636944925
182,2013-07-02,49297.35624213846
183,2013-07-03,49479.88548772203
184,2013-07-04,49447.96050387192
185,2013-07-05,48886.44456123955
186,2013-07-06,44004.997909976904
187,2013-07-07,41693.4514484221
188,2013-07-08,48352.58852371135
189,2013-07-09,49833.40658139421
190,2013-07-10,50041.67309160977
191,2013-07-11,50015.89268489828
192,2013-07-12,49439.21703643784
193,2013-07-13,44520.124549252396
194,2013-07-14,42147.83951552927
195,2013-07-15,48723.14398713749
196,2013-07-16,50097.65316593319
197,2013-07-17,50178.368290067854
198,2013-07-18,50005.62396635256
199,2013-07-19,49264.96196905106
200,2013-07-20,44167.759488201555
201,2013-07-21,41606.58286099789
202,2013-07-22,47985.921755860494
203,2013-07-23,49161.37668962745
204,2013-07-24,49044.11619931384
205,2013-07-25,48678.72316956126
206,2013-07-26,47754.965023353885
207,2013-07-27,42488.318505922885
208,2013-07-28,39775.22282637659
209,2013-07-29,46023.71876567829
210,2013-07-30,47092.54910766223
211,2013-07-31,46895.53895961229
212,2013-08-01,46479.37741890391
213,2013-08-02,45535.336907192584
214,2013-08-03,40279.76213358688
215,2013-08-04,37609.30327069909
216,2013-08-05,43931.55134076378
217,2013-08-06,45104.15112153516
218,2013-08-07,45039.209660509245
219,2013-08-08,44781.12096602071
220,2013-08-09,44018.3419252897
221,2013-08-10,38963.949798519985
