,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
17,2014-06-01,53606.22432208763,41866.5106016763,46769.347480036224,53606.22432208763,53606.22432208763,-9225.657916937309,-9225.657916937309,-9225.657916937309,-9225.657916937309,-9225.657916937309,-9225.657916937309,0.0,0.0,0.0,44380.566405150326
18,2014-07-01,53713.90383115028,42415.28475510328,47712.287184939014,53713.90383115028,53713.90383115028,-8692.464564044405,-8692.464564044405,-8692.464564044405,-8692.464564044405,-8692.464564044405,-8692.464564044405,0.0,0.0,0.0,45021.439267105874
19,2014-08-01,53825.17265718168,39154.52448846902,44314.72126786897,53825.17265718168,53825.17265718168,-12154.306961638431,-12154.306961638431,-12154.306961638431,-12154.306961638431,-12154.306961638431,-12154.306961638431,0.0,0.0,0.0,41670.86569554325
20,2014-09-01,53936.44148321309,42485.2157826797,47874.171389318464,53936.44148321309,53936.44148321309,-8750.410527745309,-8750.410527745309,-8750.410527745309,-8750.410527745309,-8750.410527745309,-8750.410527745309,0.0,0.0,0.0,45186.03095546778
21,2014-10-01,54044.1209891022,46854.000450917774,52212.621010949995,54044.1209891022,54044.1209891022,-4491.168099134962,-4491.168099134962,-4491.168099134962,-4491.168099134962,-4491.168099134962,-4491.168099134962,0.0,0.0,0.0,49552.95288996724
22,2014-11-01,54155.38981185428,57212.787545810934,62262.490429660684,54155.38981185428,54155.38981185428,5628.00860999857,5628.00860999857,5628.00860999857,5628.00860999857,5628.00860999857,5628.00860999857,0.0,0.0,0.0,59783.39842185285
23,2014-12-01,54263.06931374055,62214.31483339848,67519.56465458045,54263.06931374055,54263.06931374055,10715.608120659392,10715.608120659392,10715.608120659392,10715.608120659392,10715.608120659392,10715.608120659392,0.0,0.0,0.0,64978.67743439994
24,2015-01-01,54374.33813235636,66627.61854898544,71919.91901067631,54374.33813235636,54374.33813235636,14991.584744309106,14991.584744309106,14991.584744309106,14991.584744309106,14991.584744309106,14991.584744309106,0.0,0.0,0.0,69365.92287666547
25,2015-02-01,54485.60695097217,66411.90976166568,71292.54079309259,54485.60695097217,54485.60695097217,14313.143121530498,14313.143121530498,14313.143121530498,14313.143121530498,14313.143121530498,14313.143121530498,0.0,0.0,0.0,68798.75007250268
26,2015-03-01,54418.339297560575,57980.362206439895,63274.57473260339,54418.339297560575,54418.339297560575,6218.158527094305,6218.158527094305,6218.158527094305,6218.158527094305,6218.158527094305,6218.158527094305,0.0,0.0,0.0,60636.49782465488
27,2015-04-01,54343.864395569166,48798.14136573188,53942.28397510864,54343.864395569166,54343.864395569166,-2959.5910427641857,-2959.5910427641857,-2959.5910427641857,-2959.5910427641857,-2959.5910427641857,-2959.5910427641857,0.0,0.0,0.0,51384.27335280498
28,2015-05-01,54271.612060247106,43822.1118537718,48856.67473051587,54271.612060247106,54271.612060247106,-7949.726966085445,-7949.726966085445,-7949.726966085445,-7949.726966085445,-7949.726966085445,-7949.726966085445,0.0,0.0,0.0,46321.88509416166
29,2015-06-01,54196.951313747646,42438.378096108,47432.315647644384,54196.951313747646,54196.951313747646,-9215.16812642925,-9215.16812642925,-9215.16812642925,-9215.16812642925,-9215.16812642925,-9215.16812642925,0.0,0.0,0.0,44981.7831873184
30,2015-07-01,54124.69897842559,43105.85217887111,48049.6699974194,54124.69897842559,54124.69897842559,-8564.089038951244,-8564.089038951244,-8564.089038951244,-8564.089038951244,-8564.089038951244,-8564.089038951244,0.0,0.0,0.0,45560.60993947435
31,2015-08-01,54050.01220474658,39149.37638859798,44260.61176899784,54050.01220474658,54050.01220474658,-12273.29563609245,-12273.29563609245,-12273.29563609245,-12273.29563609245,-12273.29563609245,-12273.29563609245,0.0,0.0,0.0,41776.71656865413
